ano,mes,entidad,cve_entidad,despliegue,migrantes_detenidos
2021,jun,colima,06,992,1
2021,jun,ciudad_de_mexico,09,12369,296
2021,jun,durango,10,1324,153
2021,jun,guanajuato,11,6260,63
2021,jun,guerrero,12,3438,21
2021,jun,hidalgo,13,1817,224
2021,jun,jalisco,14,6384,12
2021,jun,mexico,15,9385,362
2021,jun,michoacan_de_ocampo,16,6171,22
2021,jun,morelos,17,1206,6
2021,jun,nayarit,18,1275,18
2021,jun,nuevo_leon,19,2405,927
2021,jun,oaxaca,20,5344,666
2021,jun,puebla,21,3387,58
2021,jun,queretaro,22,1090,110
2021,jun,quintana_roo,23,1717,146
2021,jun,san_luis_potosi,24,1349,743
2021,jun,sinaloa,25,4124,257
2021,jun,sonora,26,2669,1102
2021,jun,tabasco,27,2047,1093
2021,jun,tamaulipas,28,3927,1092
2021,jun,tlaxcala,29,568,1046
2021,jun,veracruz_de_ignacio_de_la_llave,30,4666,1121
2021,jun,yucatan,31,857,49
2021,jun,zacatecas,32,1928,157
2021,jul,aguascalientes,01,364,107
2021,jul,baja_california,02,2119,439
2021,jul,baja_california_sur,03,1385,6
2021,jul,campeche,04,915,17
2021,jul,chiapas,07,3762,8759
2021,jul,chihuahua,08,2542,251
2021,jul,coahuila_de_zaragoza,05,2160,508
2021,jul,colima,06,992,1
2021,jul,ciudad_de_mexico,09,12369,152
2021,jul,durango,10,1324,195
2021,jul,guanajuato,11,6260,57
2021,jul,guerrero,12,3438,23
2021,jul,hidalgo,13,1817,146
2021,jul,jalisco,14,6384,9
2021,jul,mexico,15,9385,429
2021,jul,michoacan_de_ocampo,16,6171,13
2021,jul,morelos,17,1206,3
2021,jul,nayarit,18,1275,44
2021,jul,nuevo_leon,19,2405,969
2021,jul,oaxaca,20,5344,676
2021,jul,puebla,21,3387,734
2021,jul,queretaro,22,1090,60
2021,jul,quintana_roo,23,1717,136
2021,jul,san_luis_potosi,24,1349,879
2021,jul,sinaloa,25,4124,85
2021,jul,sonora,26,2669,1038
2021,jul,tabasco,27,2047,1240
2021,jul,tamaulipas,28,3927,1683
2021,jul,tlaxcala,29,568,1020
2021,jul,veracruz_de_ignacio_de_la_llave,30,4666,2865
2021,jul,yucatan,31,857,52
2021,jul,zacatecas,32,1928,301
